https://w3id.org/mint/modelCatalog#Model,http://www.w3.org/2000/01/rdf-schema#label,http://w31d.org/mint/modelCatalog#hasVersion,http://w31d.org/mint/modelCatalog#hasDescription,http://w31d.org/mint/modelCatalog#hasConfiguration,http://w31d.org/mint/modelCatalog#hasModelCategory,http://w31d.org/mint/modelCatalog#hasAssumption
PIHM,PIHM,pihm_2.2,"The Penn State Integrated Hydrology Model (PIHM) is a multiprocess, multi-scale hydrologic model where the major processes are fully coupled using the semi-discrete finite volume method",pihm_cfg_simple;pihm_cfg_simple2,Hydrology,PIHM uses a finite volume numerical proceedure that resolves the domain into triangular prisms from bottom of groundwater to top of canopy.The state variables within each prism are fully coupled internally and with adjacent cells such that a mass balance is assured at each cell and globally across the domain. 
CYCLES,Cycles,cycles_0.8.0_alpha,"Cycles simulates the productivity and the water, carbon, and nitrogen balance of soil-crop systems subject to climate conditions and a large array of management constraints",cycles_cfg_simple;cycles_cfg_simple2,Agriculture,"The simulation unit in Cycles is a field with a single soil (soil file) that is layered (user defined number of layers), exposed to a daily weather (weather file) and subject to operations (operations file) that control soil properties, vegetation properties (crop file), and surface residue properties. Variables in weather file are considered rigid forcings. Surface conditions do not alter air temperature or moisture. Soil is connected to the residues, aboveground living biomass, air, and radiation from the atmosphere; and with the bottom of the profile. There is no lateral water or solutes movement within the soil profile. When running stand alone, runoff and percolation water simply leaves the simulation unit. Vegetation can be composed of monocultures (single species) or multiple species. The parameters describing each plant of the community are described in the crop file. The operations file allows multiple types of interventions organized as tillage, fertilization, and planting events. Operations like kill crop are part of tillage. To enable coupling with other models, Cycles can be set to replace (re-initialize) internally calculated variable with external inputs. For example, infiltration can be an input from the PIHM model; soil moisture can be reset based on observations or data from other models. This flexibility extends to all state variables. Re-initialization algorithm can break the mass balance and is not recommended unless the goal override mass or energy balance concerns. "
KIMETRICA_LAND_USE,Kimetrica land use model,kimetrica_0.0,The Kimetrica model simulates land use.,kimterica_land_use_cfg_simple,Land Use,
ECONOMIC_AGGREGATE_CROP_SUPPLY,Aggregate crop supply response model,EACS_2.0,The EACS describes the aggregate crop supply response model for the country of South Sudan,economic_aggregate_crop_supply,Economic,"This is a regional-scale, aggregate model of agricultural supply for a specified set of crops (cassava, groundnuts, maize, sesame seed, and sorghum). The model calibrates the parameters of a constant elasticity of substitution (CES) production function and linear cost function using the positive mathematical programming (PMP) method. Calibration relies on observed data on agricultural input use (land and fertilizer) and crop yields. Markets are assumed complete. "
TOPOFLOW,TopoFlow,topoflow_3.5,"Topoflow is a powerful, spatially-distributed hydrologic model for various physical processes in a watershed with the goal of accurately predicting how various hydrologic variables will evolve in time in response to climatic forcings",topoflow_cfg_simple,Hydrology,
DSSAT,DSSAT,dssat_4.7,"The Decision Support System for Agrotechnology Transfer (DSSAT) comprises dynamic crop growth simulation model for over 40 crops. The model simulates growth, development, and yield as a function of the soil-plant-atmosphere dynamics.",dssat_cfg_simple;dssat_cfg_simple2,Agriculture,
MODFLOW,Modflow,modflow_nwt;modflow_2005,Modflow is a popular open-source groundwater flow model distributed by the U.S. Geological survey,,Hydrology,
CYCLES_TO_ECON,Cycles to economic,cycles_to_econ_1.0,Cycles_to_econ calculates the yield elasticity under increased fertilizer uses from cycles for use in the aggregate crop supply response model,cycles_to_econ_cfg,Agriculture;Economic,The model assumes a 10% increase in fertilizer use compared to the baseline cycles run.
PIHM_TO_CYCLES,Pihm to cycles transformation code,pihm_to_cyles_1.0,Code that moves the output of pihm into cycle,pihm_to_cycles_cfg,Hydrology;Agriculture,
