https://w3id.org/mint/modelCatalog#Parameter,http://www.w3.org/2000/01/rdf-schema#label,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasDefaultValue,https://w3id.org/mint/modelCatalog#hasDataType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
pihm_flooding_threshold,flooding-threshold,,0.05,float,https://w3id.org/wings/export/MINT#FloodingThreshold
wgen_flagP,flagP,flag P,Rain_f_tavg,string,https://w3id.org/wings/export/MINT#FlagP
wgen_min_lon,min_lon,minimum longitude,24.15235,float,https://w3id.org/wings/export/MINT#MinLongitude
wgen_max_lon,max_lon,maximum longitude,27.74012,float,https://w3id.org/wings/export/MINT#MaxLongitude
wgen_min_lat,min_lat,minimum latitude,6.700375,float,https://w3id.org/wings/export/MINT#MinLatitude
wgen_max_lat,max_lat,maximum latitude,9.335303,float,https://w3id.org/wings/export/MINT#MaxLatitude
wgen_min_month,min_month,minimum month,6,float,https://w3id.org/wings/export/MINT#MinMonth
wgen_max_month,max_month,maximum month,8,float,https://w3id.org/wings/export/MINT#MaxMonth
wgen_level,level,level,0.6,float,https://w3id.org/wings/export/MINT#Level
wgen_flagP_T,flagP,flagP,Tair_f_tavg,string,https://w3id.org/wings/export/MINT#FlagP
climcomp_datasource,dataset_source,dataset source,FLDAS,string,https://w3id.org/wings/export/MINT#DataSource
climcomp_flagP,flagP,flag P,Rain_f_tavg,string,https://w3id.org/wings/export/MINT#FlagP
climcomp_min_lon,min_lon,minimum longitude,24.15235,float,https://w3id.org/wings/export/MINT#MinLongitude
climcomp_max_lon,max_lon,maximum longitude,27.74012,float,https://w3id.org/wings/export/MINT#MaxLongitude
climcomp_min_lat,min_lat,minimum latitude,6.700375,float,https://w3id.org/wings/export/MINT#MinLatitude
climcomp_max_lat,max_lat,maximum latitude,9.335303,float,https://w3id.org/wings/export/MINT#MaxLatitude
climcomp_min_month,min_month,minimum month,6,float,https://w3id.org/wings/export/MINT#MinMonth
climcomp_max_month,max_month,maximum month,8,float,https://w3id.org/wings/export/MINT#MaxMonth
climcomp_year,year,year,2017,float,https://w3id.org/wings/export/MINT#ClimCompYear
cycles_planting-day-1,cycles_planting-day-1,planting day 1,100,int,https://w3id.org/wings/export/MINT#CyclesPlantingDay1
cycles_planting-day-1-duration,cycles_planting-day-1-duration,planting day 1 duration,10,int,https://w3id.org/wings/export/MINT#CyclesPlantingDay1Duration
cycles_planting-day-2,cycles_planting-day-2,planting day 2,225,int,https://w3id.org/wings/export/MINT#CyclesPlantingDay2
cycles_planting-day-2-duration,cycles_planting-day-2-duration,planting day 2 duration,10,int,https://w3id.org/wings/export/MINT#CyclesPlantingDay2Duration
pihm_start-date,pihm_start-date,start date,2017-01-01,string,https://w3id.org/wings/export/MINT#StartDate
pihm_end-date,pihm_end-date,end date, 2017-12-31,string,https://w3id.org/wings/export/MINT#EndDate
pihm_region-name,pihm_region-name,region name,pg,string,https://w3id.org/wings/export/MINT#RegionName
fldas_to_pihm_start-date,start-date,,2017-01-01,string,https://w3id.org/wings/export/MINT#StartDate
fldas_to_pihm_end-date,end-date,, 2017-12-31,string,https://w3id.org/wings/export/MINT#EndDate
pihm_cropland_to_points_num-points,num-points,,1,int,https://w3id.org/wings/export/MINT#NumPoints
pihm_forcing_to_cycles_weather_start-date,start-date,,2017-01-01,string,https://w3id.org/wings/export/MINT#StartDate
pihm_forcing_to_cycles_weather_end-date,end-date,, 2017-12-31,string,https://w3id.org/wings/export/MINT#EndDate
pihm_flooding_netcdf_start-date,start-date,,2017-01-01,string,https://w3id.org/wings/export/MINT#StartDate
pihm_flooding_netcdf_flooding-threshold,flooding-threshold,,0.05,float,https://w3id.org/wings/export/MINT#FloodingThreshold
cycles_to_crop_start-date,start-date,,2017-01-01,string,https://w3id.org/wings/export/MINT#StartDate
economic_to_vis_start_date,start-date,,2017-01-01,string,https://w3id.org/wings/export/MINT#StartDate
economic_to_vis_region_name,region-name,,pg,string,https://w3id.org/wings/export/MINT#EndDate
