https://w3id.org/mint/modelCatalog#TimeInterval,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasValue,https://w3id.org/mint/commons#usesUnit
pihm_cfg_simple_TI,Time interval used in the PIHM simple configuration,1,day
pihm_cfg_simple2_TI,Time interval used in the PIHM simple configuration with additional input variables,1,day
cycles_cfg_simple_TI,Time interval used in the Cycles simple configuration,1,day
kimetrica_land_use_cfg_simple_TI,Time interval used in the Kimetrica land use simple configuration,,
economic_aggregate_crop_supply_TI,Time interval used in the aggregate crop supply response model for the country of South Sudan configuration,1,year
topoflow_cfg_simple_TI,Time interval used in the TopoFlow with basic configuration,,
dssat_cfg_simple_TI,Time interval used in the DSSAT simple configuration,,
dssat_cfg_simple2_TI,Time interval used in the DSSAT simple configuration with explicit outputs,,
topoflow_cfg_fk_TI,Time interval used in the TopoFlow with fake configuration to emulate PIHM,,
dssat_cfg_fk_TI,Time interval used in the  DSSAT with fake configuration to emulate Cycles,,
