https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
PIHM_PRCP,PRCP,PRCP,precipitation,Value of Precipitation,atmosphere_water__precipitation_volume_flux,m/day,atmosphere_water__precipitation_volume_flux,,,
PIHM_TRMP,TRMP,TRMP,temperature,Value of Temperature,atmosphere_bottom_air__temperature,C,,,,
PIHM_WINF,WINF,WINF,wind speed,Value of wind speed,atmosphere_bottom_wind__speed,m/day,,,,
PIHM_RH,RH,RH,relative humidity,Value of relative humidity,atmosphere_air_water~vapor__relative_saturation,percentage/100,,,,
PIHM_THETAR,ThetaR,ThetaR,soil porosity,Residual water content,soil__residual_porosity,m3/m3,,,,
PIHM_INF_RATE,INF_Rate,INF_Rate,Infiltration rate,infiltration rate,land_surface_water__infiltration_rate,m/d,,,,
PIHM_EVAP,EVAP,EVAP,Evaporation,evaporation from ground surface,land_surface_water__evaporation_rate,m/d,,,,
PIHM_SURF,surf,surf,surface water depth,depth of water on land surface,land_surface_water__depth,m/d,,,,
Topo_p,P,P,precipitation,Precipitation rate,atmosphere_water__precipitation_leq-volume_flux,mm/h,atmosphere_water__precipitation_volume_flux,,,
Topo_qs,qs,qs,soil water content,Saturated soil water content,soil_water__saturated_volume_fraction,,soil_water__volume_fraction,,,
Topo_albedo,albedo,albedo,albedo,surface albedo in [0-1],land_surface__albedo,,,,,
DSSAT_hwam,HWAM,HWAM,harvest yield,Harvest yield at harvest maturity (dry wt),crop__maturity_dry_harvested_mass-per-area_yield,kg/ha,,,,
DSSAT_cwam,CWAM,CWAM,tops dry weigth,Tops dry weight at maturity,crop_tops__maturity_dry_mass-per-area_yield,kg/ha,,,,
DSSAT_FAMN,FAMN,FAMN,N_in_applied_fertilizer,Nitrogen in applied fertilizer,fertilizer_nitrogen__mass-per-area_density,kg[N]/ha,,,,
DSSAT_FDATE,FDATE,FDATE,fertilization_date,Fertilization date,soil__fertilization_date,date,,,,
DSSAT_FDEP,FDEP,FDEP,fertilizer depth,Fertilizer application depth,soil_fertilizer__application_depth,cm,,,,
